"phrase" "start" "destination"
"Je souhaite arriver à Alfortville depuis Châtillon" "Châtillon" "Alfortville"
"Je souhaite atterrir à Plaisir depuis Le Blanc-Mesnil" "Le Blanc-Mesnil" "Plaisir"
"J'aimerais voyager à Saint-Étienne en passant par Grenoble" "Grenoble" "Saint-Étienne"
"Je souhaite aller à Issy-les-Moulineaux en provenance de Thionville" "Thionville" "Issy-les-Moulineaux"
"Je souhaite me rendre à Mérignac en provenance de Saint-Leu" "Saint-Leu" "Mérignac"
"Je souhaite visiter Marcq-en-Barœul depuis Saint-Raphaël" "Saint-Raphaël" "Marcq-en-Barœul"
"Je souhaite me rendre à Malakoff en passant par Bron" "Bron" "Malakoff"
"J'aimerais visiter Istres en passant par Marignane" "Marignane" "Istres"
"J'aimerais arriver à Meaux en passant par Meudon" "Meudon" "Meaux"
"J'aimerais aller vers Saint-Denis en provenance de Les Mureaux" "Les Mureaux" "Saint-Denis"
"Je souhaite découvrir Villeneuve-d'Ascq en provenance de Grasse" "Grasse" "Villeneuve-d'Ascq"
"Je souhaite atterrir à Les Sables-d'Olonne depuis Châtellerault" "Châtellerault" "Les Sables-d'Olonne"
"Je souhaite aller vers Saint-Raphaël en partant de Quimper" "Quimper" "Saint-Raphaël"
"Je ne trouve pas de train en direction de Schiltigheim à partir de Saint-Benoît" "Saint-Benoît" "Schiltigheim"
"J'aimerais voyager à Villepinte en partant de Haguenau" "Haguenau" "Villepinte"
"Je souhaite arriver à Vénissieux en provenance de Martigues" "Martigues" "Vénissieux"
"J'aimerais découvrir Chartres depuis Mamoudzou" "Mamoudzou" "Chartres"
"J'aimerais arriver à Le Perreux-sur-Marne depuis Versailles" "Versailles" "Le Perreux-sur-Marne"
"J'aimerais découvrir Castres en partant de Sète" "Sète" "Castres"
"Je souhaite atterrir à Liévin depuis Saint-Laurent-du-Maroni" "Saint-Laurent-du-Maroni" "Liévin"
"J'aimerais atterrir à Pau en partant de Wattrelos" "Wattrelos" "Pau"
"Je ne trouve pas de train en direction de Metz à partir de Talence" "Talence" "Metz"
"Je souhaite aller à Marseille en passant par Baie-Mahault" "Baie-Mahault" "Marseille"
"Je souhaite arriver à Neuilly-sur-Marne en partant de Maisons-Alfort" "Maisons-Alfort" "Neuilly-sur-Marne"
"Je souhaite découvrir La Possession à partir de Annemasse" "Annemasse" "La Possession"
"J'aimerais me rendre à Vigneux-sur-Seine en provenance de Lille" "Lille" "Vigneux-sur-Seine"
"Je souhaite découvrir Boulogne-sur-Mer depuis Noisy-le-Grand" "Noisy-le-Grand" "Boulogne-sur-Mer"
"Je souhaite visiter Nantes depuis La Seyne-sur-Mer" "La Seyne-sur-Mer" "Nantes"
"J'aimerais aller vers Cergy en passant par La Rochelle" "La Rochelle" "Cergy"
"Je souhaite atterrir à Les Sables-d'Olonne en partant de Grenoble" "Grenoble" "Les Sables-d'Olonne"
"J'aimerais arriver à Mamoudzou à partir de Liévin" "Liévin" "Mamoudzou"
"J'aimerais découvrir Meaux en provenance de Saint-Martin-d'Hères" "Saint-Martin-d'Hères" "Meaux"
"J'aimerais voyager à Villeneuve-d'Ascq à partir de Chatou" "Chatou" "Villeneuve-d'Ascq"
"J'aimerais atterrir à Versailles à partir de Aulnay-sous-Bois" "Aulnay-sous-Bois" "Versailles"
"J'aimerais me rendre à Corbeil-Essonnes en partant de Le Mans" "Le Mans" "Corbeil-Essonnes"
"Je souhaite aller vers Clichy en provenance de Beauvais" "Beauvais" "Clichy"
"J'aimerais aller vers Versailles en provenance de Caen" "Caen" "Versailles"
"Je souhaite découvrir L'Haÿ-les-Roses en partant de Limoges" "Limoges" "L'Haÿ-les-Roses"
"J'aimerais visiter Cordes sur Ciel en passant par Châtellerault" "Châtellerault" "Cordes sur Ciel"
"J'aimerais visiter Melun depuis Athis-Mons" "Athis-Mons" "Melun"
"J'aimerais aller à Cayenne à partir de Ivry-sur-Seine" "Ivry-sur-Seine" "Cayenne"
"J'aimerais arriver à Herblay-sur-Seine à partir de Bagneux" "Bagneux" "Herblay-sur-Seine"
"Je souhaite visiter La Ciotat à partir de Antony" "Antony" "La Ciotat"
"Je souhaite aller vers Toulon en partant de Bezons" "Bezons" "Toulon"
"Je souhaite voyager à Narbonne depuis Valenciennes" "Valenciennes" "Narbonne"
"J'aimerais voyager à La Courneuve depuis Villefranche-sur-Saône" "Villefranche-sur-Saône" "La Courneuve"
"Je ne trouve pas de train en direction de Schiltigheim en partant de Villeneuve-Saint-Georges" "Villeneuve-Saint-Georges" "Schiltigheim"
"Je ne trouve pas de train en direction de Le Havre en provenance de Nîmes" "Nîmes" "Le Havre"
"Je souhaite me rendre à Baie-Mahault en partant de Le Tampon" "Le Tampon" "Baie-Mahault"
"J'aimerais arriver à Quimper à partir de Albi" "Albi" "Quimper"
"Je souhaite voyager à Meudon à partir de Alfortville" "Alfortville" "Meudon"
"Je souhaite aller à Blois en provenance de Franconville" "Franconville" "Blois"
"Je souhaite voyager à Dumbéa en passant par Nancy" "Nancy" "Dumbéa"
"Je ne trouve pas de train en direction de Garges-lès-Gonesse depuis La Courneuve" "La Courneuve" "Garges-lès-Gonesse"
"J'aimerais aller à Cachan en provenance de Colombes" "Colombes" "Cachan"
"Je souhaite aller à Niort en provenance de Sainte-Marie" "Sainte-Marie" "Niort"
"J'aimerais visiter Sainte-Marie depuis Beauvais" "Beauvais" "Sainte-Marie"
"J'aimerais découvrir Le Blanc-Mesnil à partir de Chambéry" "Chambéry" "Le Blanc-Mesnil"
"Je souhaite arriver à Palaiseau en provenance de Bastia" "Bastia" "Palaiseau"
"Je souhaite aller à Saint-Étienne à partir de Lyon" "Lyon" "Saint-Étienne"
"J'aimerais me rendre à Nogent-sur-Marne en provenance de Herblay-sur-Seine" "Herblay-sur-Seine" "Nogent-sur-Marne"
"J'aimerais me rendre à Chalon-sur-Saône depuis Annecy" "Annecy" "Chalon-sur-Saône"
"Je souhaite atterrir à Corbeil-Essonnes en provenance de Vigneux-sur-Seine" "Vigneux-sur-Seine" "Corbeil-Essonnes"
"Je souhaite arriver à Villenave-d'Ornon depuis Bagnolet" "Bagnolet" "Villenave-d'Ornon"
"J'aimerais voyager à Saint-Joseph en partant de Auxerre" "Auxerre" "Saint-Joseph"
"J'aimerais voyager à Agen depuis Châlons-en-Champagne" "Châlons-en-Champagne" "Agen"
"Je souhaite découvrir Beauvais depuis Pierrefitte-sur-Seine" "Pierrefitte-sur-Seine" "Beauvais"
"Je souhaite aller vers Auxerre en passant par Athis-Mons" "Athis-Mons" "Auxerre"
"J'aimerais me rendre à Sevran en passant par Perpignan" "Perpignan" "Sevran"
"Je souhaite aller vers Strasbourg en passant par Romans-sur-Isère" "Romans-sur-Isère" "Strasbourg"
"J'aimerais atterrir à Bondy en provenance de Charleville-Mézières" "Charleville-Mézières" "Bondy"
"Je souhaite découvrir Le Cannet à partir de Rennes" "Rennes" "Le Cannet"
"J'aimerais aller à Saint-Martin en partant de Avignon" "Avignon" "Saint-Martin"
"Je souhaite arriver à Châtellerault depuis Saint-Pierre" "Saint-Pierre" "Châtellerault"
"J'aimerais arriver à Chambéry à partir de Beauvais" "Beauvais" "Chambéry"
"Je souhaite aller vers Cordes sur Ciel à partir de Épinal" "Épinal" "Cordes sur Ciel"
"Je souhaite voyager à Saint-Paul en provenance de Villepinte" "Villepinte" "Saint-Paul"
"J'aimerais arriver à Saint-Denis en partant de La Rochelle" "La Rochelle" "Saint-Denis"
"J'aimerais aller à L'Haÿ-les-Roses en partant de Vénissieux" "Vénissieux" "L'Haÿ-les-Roses"
"Je souhaite aller à Conflans-Sainte-Honorine depuis Albi" "Albi" "Conflans-Sainte-Honorine"
"J'aimerais aller à Neuilly-sur-Seine en partant de Bourg-en-Bresse" "Bourg-en-Bresse" "Neuilly-sur-Seine"
"Je ne trouve pas de train en direction de Saint-Pierre depuis Châtenay-Malabry" "Châtenay-Malabry" "Saint-Pierre"
"Je souhaite visiter Fort-de-France en provenance de Aulnay-sous-Bois" "Aulnay-sous-Bois" "Fort-de-France"
"J'aimerais aller vers Pau depuis Cagnes-sur-Mer" "Cagnes-sur-Mer" "Pau"
"Je souhaite visiter Plaisir en provenance de Évry-Courcouronnes" "Évry-Courcouronnes" "Plaisir"
"Je souhaite découvrir Grenoble en provenance de Cayenne" "Cayenne" "Grenoble"
"Je souhaite atterrir à Meudon en partant de Rosny-sous-Bois" "Rosny-sous-Bois" "Meudon"
"J'aimerais atterrir à Le Tampon en passant par Angoulême" "Angoulême" "Le Tampon"
"J'aimerais découvrir Saint-Maur-des-Fossés en provenance de Dumbéa" "Dumbéa" "Saint-Maur-des-Fossés"
"J'aimerais arriver à Bayonne en partant de Saint-Herblain" "Saint-Herblain" "Bayonne"
"Je souhaite découvrir Castres en partant de Pantin" "Pantin" "Castres"
"Je souhaite me rendre à La Rochelle à partir de Compiègne" "Compiègne" "La Rochelle"
"Je souhaite aller à Marignane en passant par Béziers" "Béziers" "Marignane"
"Je souhaite me rendre à Villepinte en passant par Saint-Benoît" "Saint-Benoît" "Villepinte"
"Je ne trouve pas de train en direction de Rueil-Malmaison depuis Gennevilliers" "Gennevilliers" "Rueil-Malmaison"
"J'aimerais me rendre à Saint-Martin-d'Hères depuis Goussainville" "Goussainville" "Saint-Martin-d'Hères"
"J'aimerais aller vers Saint-Maur-des-Fossés depuis Bagneux" "Bagneux" "Saint-Maur-des-Fossés"
"Je souhaite aller vers Malakoff en passant par Draguignan" "Draguignan" "Malakoff"
"J'aimerais visiter Troyes depuis Bron" "Bron" "Troyes"
"J'aimerais atterrir à Goussainville en partant de Tourcoing" "Tourcoing" "Goussainville"
"Je souhaite me rendre à Baie-Mahault en passant par Châtillon" "Châtillon" "Baie-Mahault"
